task,dataset,metric,reference,spear_rho,pear_rho,spear_p,pear_p
ratings,wikitext,c_npmi_10,full,0.4132538712150335,0.4299409406768559,1.4736273710688795e-07,4.0024145834452805e-08
ratings,wikitext,c_npmi_10,nytimes_full,0.35348885820628473,0.3351094712986865,9.112227083886776e-06,2.768018802260183e-05
ratings,wikitext,c_npmi_10,train,0.4286470819461231,0.4425429661652434,4.439309936232151e-08,1.4259856359331699e-08
ratings,wikitext,c_npmi_10,val,0.23599936056514872,0.1672460407010778,0.003644538051599167,0.04079246382523801
ratings,wikitext,c_v,full,0.36821490292906867,0.49079214053778486,3.5537790902079863e-06,1.817966031900653e-10
ratings,wikitext,c_v,nytimes_full,0.3477468604883783,0.40286726414514273,1.2991047959203977e-05,3.2028527966311403e-07
ratings,wikitext,c_v,train,0.3859224657408007,0.537196728230704,1.0753590915763367e-06,1.3689491652796539e-12
ratings,wikitext,c_v,val,0.36099172671627955,0.23180841287642057,5.672916304292355e-06,0.004313227762566567
ratings,nytimes,c_npmi_10,full,0.37959483232661645,0.27939551107372174,1.6617873047202321e-06,0.0005352346819367814
ratings,nytimes,c_npmi_10,train,0.38738932539665244,0.32095812840852356,9.708846895506217e-07,6.214714494253906e-05
ratings,nytimes,c_npmi_10,val,0.40662531084903225,0.2917173742488989,2.4258666657199773e-07,0.0002923202207907795
ratings,nytimes,c_npmi_10,wikitext_full,0.5120141411695996,0.3492231062282219,2.1294118313909418e-11,1.1866780551158945e-05
ratings,nytimes,c_v,full,0.418673343756799,0.5248995919343981,9.725103013828749e-08,5.378511154373211e-12
ratings,nytimes,c_v,train,0.4112230110817533,0.5510056041729244,1.7187386431309803e-07,2.752511141317118e-13
ratings,nytimes,c_v,val,0.44017739940541034,0.4860789153054609,1.7363810782116615e-08,2.870095028936462e-10
ratings,nytimes,c_v,wikitext_full,0.450855582970455,0.4923860230444622,7.052412021625318e-09,1.555382481090484e-10
ratings,all,c_npmi_10,full,0.390119451969593,0.32243457125977076,2.408716997377241e-12,1.0985593311521553e-08
ratings,all,c_npmi_10,nytimes_full,0.34453578567394466,0.26954453807544987,8.712816694396879e-10,2.1677285674632703e-06
ratings,all,c_npmi_10,train,0.4026698406737414,0.3247741869419815,4.0239162864747073e-13,8.48034620899903e-09
ratings,all,c_npmi_10,val,0.3575316784811409,0.1885147570671685,1.7841508193439898e-10,0.0010343734248829813
ratings,all,c_npmi_10,wikitext_full,0.44943476137906596,0.33811189396337155,2.5431332077279854e-16,1.8582635315581655e-09
ratings,all,c_v,full,0.4160878099839271,0.5112045106908966,5.45561487727155e-14,2.243813217673405e-21
ratings,all,c_v,nytimes_full,0.3853043841963245,0.4539717078714436,4.691533419523535e-12,1.1692939401381458e-16
ratings,all,c_v,train,0.41806762251691487,0.5186410117108393,4.0316635904539985e-14,4.682292460562673e-22
ratings,all,c_v,val,0.45011630239518113,0.3251055043934935,2.264634181292652e-16,8.173678275187992e-09
ratings,all,c_v,wikitext_full,0.42902846986045273,0.5032778420819757,7.284990939345536e-15,1.1435549497835152e-20
intrusions,wikitext,c_npmi_10,full,0.3742776153711931,0.37284201890880253,2.3789050866813332e-06,2.6180139298460044e-06
intrusions,wikitext,c_npmi_10,nytimes_full,0.3702540815350882,0.32454583503231893,3.107804624287996e-06,5.081631742084079e-05
intrusions,wikitext,c_npmi_10,train,0.3868538572379637,0.374313905718123,1.0078486932259097e-06,2.3731383815422273e-06
intrusions,wikitext,c_npmi_10,val,0.16095162948071706,0.07874733415603748,0.04911360097371503,0.3381261414099585
intrusions,wikitext,c_v,full,0.3354149622173085,0.3500887096674079,2.718908126485356e-05,1.1250985479159766e-05
intrusions,wikitext,c_v,nytimes_full,0.3284262241145139,0.3057316872355713,4.0757872908565264e-05,0.0001420220669541618
intrusions,wikitext,c_v,train,0.33444723392687853,0.365248235409927,2.8773607908447628e-05,4.312300733523098e-06
intrusions,wikitext,c_v,val,0.19628782042221699,0.17211333664133088,0.01606735699945482,0.03519931701716744
intrusions,nytimes,c_npmi_10,full,0.2958124195848638,0.2543129325693272,0.00023762527547897198,0.0016870162875012517
intrusions,nytimes,c_npmi_10,train,0.25837569498794266,0.18599751401637213,0.0014111700222687472,0.022675289445982596
intrusions,nytimes,c_npmi_10,val,0.2012647019428712,0.14908156320015764,0.013523212597143825,0.06863977536750547
intrusions,nytimes,c_npmi_10,wikitext_full,0.4217314224343891,0.3257365782850127,7.667183409678722e-08,4.7505748154764425e-05
intrusions,nytimes,c_v,full,0.3608929434558481,0.3695455469923228,5.7088700921832285e-06,3.256369497448064e-06
intrusions,nytimes,c_v,train,0.35353860053152447,0.36576315991282576,9.083999904853741e-06,4.170477046589113e-06
intrusions,nytimes,c_v,val,0.3508421096065459,0.35310332061799027,1.0739709579880405e-05,9.333837276483732e-06
intrusions,nytimes,c_v,wikitext_full,0.46631287037947156,0.4703980693043559,1.809349563787609e-09,1.248542899050921e-09
intrusions,all,c_npmi_10,full,0.3137413496493583,0.2762606191736661,2.819514396801116e-08,1.1744215405139429e-06
intrusions,all,c_npmi_10,nytimes_full,0.28603446073104455,0.22980981647532758,4.673466128866973e-07,5.876688946671021e-05
intrusions,all,c_npmi_10,train,0.3306548423717192,0.27359865709886905,4.381484283597407e-09,1.5002987297756196e-06
intrusions,all,c_npmi_10,val,0.1884922788431966,0.11697541225327993,0.0010358353953522333,0.04291145207749149
intrusions,all,c_npmi_10,wikitext_full,0.4268472170923517,0.36889996879993114,1.0290971096720349e-14,4.195901027876618e-11
intrusions,all,c_v,full,0.3683694730332547,0.386198584150328,4.494814461384508e-11,4.1486165589430714e-12
intrusions,all,c_v,nytimes_full,0.3103832227891435,0.29581344675746907,4.0255574807998694e-08,1.7938158814077875e-07
intrusions,all,c_v,train,0.38451503768003026,0.3903093555555831,5.227918804072013e-12,2.34568620603645e-12
intrusions,all,c_v,val,0.21024937847459624,0.15526913869930767,0.00024493307000129775,0.007049994624483817
