task,dataset,metric,reference,fp_rate,false_positives,discoveries,fn_rate,false_negatives,omissions
ratings,wikitext,c_npmi_10,full,1.0,2,2,1.0,3,3
ratings,wikitext,c_npmi_10,nytimes_full,0.3333333333333333,1,3,0.3333333333333333,1,3
ratings,wikitext,c_npmi_10,train,1.0,2,2,0.0,0,1
ratings,wikitext,c_npmi_10,val,0.6666666666666666,2,3,0.5,1,2
ratings,wikitext,c_v,full,0.3333333333333333,1,3,0.3333333333333333,1,3
ratings,wikitext,c_v,nytimes_full,0.5,1,2,1.0,2,2
ratings,wikitext,c_v,train,0.3333333333333333,1,3,0.5,1,2
ratings,wikitext,c_v,val,1.0,2,2,1.0,2,2
ratings,nytimes,c_npmi_10,full,0.3333333333333333,1,3,0.0,0,2
ratings,nytimes,c_npmi_10,train,0.5,1,2,1.0,2,2
ratings,nytimes,c_npmi_10,val,0.0,0,2,0.3333333333333333,1,3
ratings,nytimes,c_npmi_10,wikitext_full,0.6666666666666666,2,3,1.0,1,1
ratings,nytimes,c_v,full,0.3333333333333333,1,3,0.5,1,2
ratings,nytimes,c_v,train,0.3333333333333333,1,3,0.3333333333333333,1,3
ratings,nytimes,c_v,val,0.3333333333333333,1,3,0.3333333333333333,1,3
ratings,nytimes,c_v,wikitext_full,0.0,0,2,0.3333333333333333,1,3
ratings,all,c_npmi_10,full,0.6666666666666666,2,3,0.0,0,1
ratings,all,c_npmi_10,nytimes_full,0.5,1,2,0.3333333333333333,1,3
ratings,all,c_npmi_10,train,0.6666666666666666,2,3,0.5,1,2
ratings,all,c_npmi_10,val,0.0,0,1,0.5,1,2
ratings,all,c_npmi_10,wikitext_full,,0,0,1.0,2,2
ratings,all,c_v,full,0.3333333333333333,1,3,0.0,0,1
ratings,all,c_v,nytimes_full,0.0,0,2,0.6666666666666666,2,3
ratings,all,c_v,train,0.6666666666666666,2,3,0.0,0,1
ratings,all,c_v,val,0.3333333333333333,1,3,0.0,0,2
ratings,all,c_v,wikitext_full,0.5,1,2,0.3333333333333333,1,3
intrusions,wikitext,c_npmi_10,full,0.3333333333333333,1,3,0.0,0,2
intrusions,wikitext,c_npmi_10,nytimes_full,0.0,0,2,0.0,0,1
intrusions,wikitext,c_npmi_10,train,0.0,0,1,0.0,0,2
intrusions,wikitext,c_npmi_10,val,1.0,2,2,1.0,1,1
intrusions,wikitext,c_v,full,1.0,2,2,,0,0
intrusions,wikitext,c_v,nytimes_full,1.0,2,2,1.0,3,3
intrusions,wikitext,c_v,train,0.3333333333333333,1,3,0.0,0,1
intrusions,wikitext,c_v,val,0.5,1,2,1.0,2,2
intrusions,nytimes,c_npmi_10,full,0.0,0,3,0.0,0,3
intrusions,nytimes,c_npmi_10,train,0.0,0,3,0.0,0,3
intrusions,nytimes,c_npmi_10,val,0.0,0,1,1.0,1,1
intrusions,nytimes,c_npmi_10,wikitext_full,0.5,1,2,1.0,1,1
intrusions,nytimes,c_v,full,0.5,1,2,0.0,0,1
intrusions,nytimes,c_v,train,0.0,0,2,0.0,0,2
intrusions,nytimes,c_v,val,0.0,0,3,0.0,0,3
intrusions,nytimes,c_v,wikitext_full,1.0,2,2,,0,0
intrusions,all,c_npmi_10,full,0.0,0,3,0.0,0,3
intrusions,all,c_npmi_10,nytimes_full,0.5,1,2,,0,0
intrusions,all,c_npmi_10,train,0.3333333333333333,1,3,,0,0
intrusions,all,c_npmi_10,val,1.0,2,2,1.0,2,2
intrusions,all,c_npmi_10,wikitext_full,1.0,1,1,,0,0
intrusions,all,c_v,full,0.3333333333333333,1,3,0.0,0,1
intrusions,all,c_v,nytimes_full,1.0,2,2,1.0,2,2
intrusions,all,c_v,train,0.5,1,2,0.0,0,1
intrusions,all,c_v,val,0.5,1,2,0.6666666666666666,2,3
intrusions,all,c_v,wikitext_full,0.5,1,2,1.0,2,2
ratings,wikitext,c_npmi_10,full,0.3333333333333333,1,3,0.0,0,2
ratings,wikitext,c_npmi_10,nytimes_full,1.0,2,2,1.0,1,1
ratings,wikitext,c_npmi_10,train,0.3333333333333333,1,3,0.0,0,1
ratings,wikitext,c_npmi_10,val,0.5,1,2,0.6666666666666666,2,3
ratings,wikitext,c_v,full,0.0,0,2,0.6666666666666666,2,3
ratings,wikitext,c_v,nytimes_full,0.5,1,2,0.0,0,2
ratings,wikitext,c_v,train,0.3333333333333333,1,3,0.3333333333333333,1,3
ratings,wikitext,c_v,val,1.0,1,1,0.5,1,2
ratings,nytimes,c_npmi_10,full,0.3333333333333333,1,3,0.5,1,2
ratings,nytimes,c_npmi_10,train,0.3333333333333333,1,3,0.3333333333333333,1,3
ratings,nytimes,c_npmi_10,val,0.3333333333333333,1,3,0.3333333333333333,1,3
ratings,nytimes,c_npmi_10,wikitext_full,,0,0,1.0,1,1
ratings,nytimes,c_v,full,0.0,0,2,0.3333333333333333,1,3
ratings,nytimes,c_v,train,0.3333333333333333,1,3,0.5,1,2
ratings,nytimes,c_v,val,0.5,1,2,0.6666666666666666,2,3
ratings,nytimes,c_v,wikitext_full,0.5,1,2,0.3333333333333333,1,3
ratings,all,c_npmi_10,full,0.3333333333333333,1,3,0.3333333333333333,1,3
ratings,all,c_npmi_10,nytimes_full,0.0,0,1,1.0,1,1
ratings,all,c_npmi_10,train,0.3333333333333333,1,3,0.5,1,2
ratings,all,c_npmi_10,val,,0,0,1.0,2,2
ratings,all,c_npmi_10,wikitext_full,0.5,1,2,0.5,1,2
ratings,all,c_v,full,0.3333333333333333,1,3,0.0,0,3
ratings,all,c_v,nytimes_full,0.5,1,2,0.3333333333333333,1,3
ratings,all,c_v,train,0.3333333333333333,1,3,0.5,1,2
ratings,all,c_v,val,0.0,0,3,0.5,1,2
ratings,all,c_v,wikitext_full,0.5,1,2,0.5,1,2
intrusions,wikitext,c_npmi_10,full,0.3333333333333333,1,3,0.0,0,2
intrusions,wikitext,c_npmi_10,nytimes_full,0.5,1,2,0.6666666666666666,2,3
intrusions,wikitext,c_npmi_10,train,0.3333333333333333,1,3,0.0,0,2
intrusions,wikitext,c_npmi_10,val,1.0,2,2,1.0,2,2
intrusions,wikitext,c_v,full,0.5,1,2,0.0,0,1
intrusions,wikitext,c_v,nytimes_full,0.5,1,2,1.0,3,3
intrusions,wikitext,c_v,train,1.0,3,3,,0,0
intrusions,wikitext,c_v,val,0.6666666666666666,2,3,1.0,2,2
intrusions,nytimes,c_npmi_10,full,0.3333333333333333,1,3,0.0,0,2
intrusions,nytimes,c_npmi_10,train,0.0,0,2,0.3333333333333333,1,3
intrusions,nytimes,c_npmi_10,val,0.5,1,2,0.0,0,1
intrusions,nytimes,c_npmi_10,wikitext_full,0.5,1,2,0.6666666666666666,2,3
