dataset,model,topic_idx,human_idx,c_npmi_10_full,c_npmi_10_nytimes_full,c_npmi_10_test,c_npmi_10_train,c_npmi_10_val,c_uci_full,c_v_full,c_v_nytimes_full,c_v_test,c_v_train,c_v_val,u_mass_full,scores_raw,confidences_raw,c_npmi_10_wikitext_full,c_v_wikitext_full,task
wikitext,mallet,0,0,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,2,1,,,ratings
wikitext,mallet,0,1,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,3,1,,,ratings
wikitext,mallet,0,2,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,1,1,,,ratings
wikitext,mallet,0,3,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,3,1,,,ratings
wikitext,mallet,0,4,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,3,1,,,ratings
wikitext,mallet,0,5,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,3,1,,,ratings
wikitext,mallet,0,6,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,2,1,,,ratings
wikitext,mallet,0,7,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,3,1,,,ratings
wikitext,mallet,0,8,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,2,1,,,ratings
wikitext,mallet,0,9,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,2,1,,,ratings
wikitext,mallet,0,10,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,3,1,,,ratings
wikitext,mallet,0,11,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,1,1,,,ratings
wikitext,mallet,0,12,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,3,1,,,ratings
wikitext,mallet,0,13,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,3,1,,,ratings
wikitext,mallet,0,14,0.0988707208,0.0893538454,0.0992300966,0.0927438638,0.0382826255,0.9122135194,0.6147731294,0.5865382784,0.6171873312,0.6128965061,0.5464359079,-2.0806140536,1,1,,,ratings
wikitext,mallet,1,0,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,2,1,,,ratings
wikitext,mallet,1,1,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,1,1,,,ratings
wikitext,mallet,1,2,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,3,1,,,ratings
