StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,prolific,nytimes_mallet_24_20,nytimes_mallet_16_28,nytimes_mallet_23_5,nytimes_mallet_10_47,nytimes_mallet_6_31,nytimes_mallet_15_1,nytimes_mallet_44_34,nytimes_mallet_25_46,nytimes_mallet_2_38,nytimes_mallet_20_44,nytimes_mallet_34_49,nytimes_mallet_37_9,nytimes_mallet_8_48,nytimes_mallet_3_39,nytimes_mallet_28_13,nytimes_mallet_31_0,nytimes_mallet_5_2,nytimes_mallet_17_8,nytimes_mallet_33_21,nytimes_mallet_43_37,nytimes_mallet_29_18,nytimes_mallet_11_41,nytimes_mallet_13_26,nytimes_mallet_46_40,nytimes_mallet_4_42,nytimes_mallet_14_24,nytimes_mallet_45_14,nytimes_mallet_32_10,nytimes_mallet_19_43,nytimes_mallet_22_16,nytimes_mallet_1_36,nytimes_mallet_30_12,nytimes_mallet_9_25,nytimes_mallet_26_45,nytimes_mallet_36_17,nytimes_mallet_21_19,nytimes_mallet_40_30,nytimes_mallet_0_22,nytimes_mallet_38_11,nytimes_mallet_18_4,nytimes_mallet_49_35,nytimes_mallet_47_29,nytimes_mallet_41_6,nytimes_mallet_48_32,nytimes_mallet_39_27,nytimes_mallet_42_23,nytimes_mallet_12_7,nytimes_mallet_27_3,nytimes_mallet_35_33,nytimes_mallet_7_15,nytimes_dvae_47_11,nytimes_dvae_42_17,nytimes_dvae_13_2,nytimes_dvae_8_35,nytimes_dvae_46_14,nytimes_dvae_3_27,nytimes_dvae_28_4,nytimes_dvae_23_24,nytimes_dvae_34_41,nytimes_dvae_25_40,nytimes_dvae_31_16,nytimes_dvae_6_22,nytimes_dvae_1_47,nytimes_dvae_21_49,nytimes_dvae_32_38,nytimes_dvae_9_23,nytimes_dvae_38_43,nytimes_dvae_11_32,nytimes_dvae_27_25,nytimes_dvae_4_7,nytimes_dvae_40_6,nytimes_dvae_48_8,nytimes_dvae_14_39,nytimes_dvae_44_42,nytimes_dvae_33_5,nytimes_dvae_20_26,nytimes_dvae_5_10,nytimes_dvae_16_34,nytimes_dvae_12_48,nytimes_dvae_35_30,nytimes_dvae_10_0,nytimes_dvae_18_31,nytimes_dvae_19_44,nytimes_dvae_22_28,nytimes_dvae_43_45,nytimes_dvae_39_13,nytimes_dvae_26_21,nytimes_dvae_15_46,nytimes_dvae_41_36,nytimes_dvae_36_9,nytimes_dvae_29_19,nytimes_dvae_37_1,nytimes_dvae_0_37,nytimes_dvae_2_20,nytimes_dvae_45_29,nytimes_dvae_24_33,nytimes_dvae_17_18,nytimes_dvae_49_3,nytimes_dvae_7_12,nytimes_dvae_30_15,nytimes_etm_19_8,nytimes_etm_40_4,nytimes_etm_42_37,nytimes_etm_23_13,nytimes_etm_37_44,nytimes_etm_8_6,nytimes_etm_26_42,nytimes_etm_16_14,nytimes_etm_10_33,nytimes_etm_0_21,nytimes_etm_29_22,nytimes_etm_33_34,nytimes_etm_24_10,nytimes_etm_27_20,nytimes_etm_11_28,nytimes_etm_9_48,nytimes_etm_30_24,nytimes_etm_31_16,nytimes_etm_46_7,nytimes_etm_3_43,nytimes_etm_48_23,nytimes_etm_44_9,nytimes_etm_43_15,nytimes_etm_18_41,nytimes_etm_34_32,nytimes_etm_5_31,nytimes_etm_45_0,nytimes_etm_14_1,nytimes_etm_25_26,nytimes_etm_22_25,nytimes_etm_17_12,nytimes_etm_38_5,nytimes_etm_36_2,nytimes_etm_12_30,nytimes_etm_13_39,nytimes_etm_21_38,nytimes_etm_35_45,nytimes_etm_1_3,nytimes_etm_49_17,nytimes_etm_6_46,nytimes_etm_20_19,nytimes_etm_47_36,nytimes_etm_2_49,nytimes_etm_41_35,nytimes_etm_15_27,nytimes_etm_32_18,nytimes_etm_7_11,nytimes_etm_4_47,nytimes_etm_39_40,nytimes_etm_28_29,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Prolific PID:,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""PROLIFIC_PID""}"
2021-05-22 23:01:13,2021-05-22 23:05:14,0,47.215.185.18,100,240,1,2021-05-22 23:05:14,R_1isVkXd2FJ8EELj,,,,,35.2303009033203125,-111.5791015625,anonymous,EN,5f6cdc4d70bfa11022ade3fa,,,,"6,7",,,"4,7","6,7",,"6,7",,"6,7",,,,,"6,7","6,7",,,,,,,,,,"6,7",,,,,,,,,,,"6,7","6,7",,,"6,7",,,,,,"6,7",,"6,7",,,"6,7","6,8",,,,"6,7","6,8",,,,"6,7",,,,"6,7",,,,,,,,"6,9","4,7",,,"6,7",,,,,,"2,7",,,,,,,,,,,,,,,,,"5,7","6,7",,"5,7","6,7",,,"6,7",,,"5,7",,"6,7",,"6,7",,"6,7",,,,,,"6,7","6,7",,,,,,,"6,7",,,,,,,,,,"6,7","6,7",,,"5,7",,,,5f6cdc4d70bfa11022ade3fa
2021-05-23 00:06:25,2021-05-23 00:12:00,0,47.33.81.85,100,334,1,2021-05-23 00:12:00,R_33vGohL8ZMMQKsf,,,,,33.78399658203125,-118.185394287109375,anonymous,EN,5fe3e979878eaa13872eb64f,,,,,,,"5,7",,,,,,,,,"6,7",,,,"6,7",,,,,"6,7",,,,,"2,7",,"6,7",,,,,,,"6,7",,,,"6,7",,,,,"6,7","6,7","6,7",,,,"2,7","6,7",,"4,8",,,"6,8",,"6,7","6,8",,"6,7",,,"6,7",,,,,,"6,9","2,9",,,,,,,,"6,7","6,7",,,,"6,7",,,"6,8",,"5,9","3,7","6,7",,,,,,,,,"6,7",,"6,7","6,7",,,,"6,7",,,,,,,,"6,7",,"5,7",,,,"6,7",,,,,,,,,"2,7",,"6,7",,,,,,"6,7",,,,,,,,,5fe3e979878eaa13872eb64f
2021-05-23 00:13:53,2021-05-23 00:25:15,0,67.143.128.5,100,681,1,2021-05-23 00:25:15,R_2zpF21U0XBiD5C0,,,,,39.768402099609375,-86.15799713134765625,anonymous,EN,60a7ed991485489d24b83e94,,"3,7",,,"2,7",,,,"6,7",,,,,,"3,7",,,"2,7",,,,,,,,,"3,7",,,,,"4,7",,,,,,,"6,7",,,"3,7",,,,,,,"6,7",,,,,,"1,7",,"6,7",,,"2,7",,,,,,,,,,,"6,7",,,,,,,,,"1,7",,,,,,,,,,"1,7",,"5,7",,"6,7",,,,,,,,,"5,7",,,,,,"2,7",,"4,7","5,7",,,,,,,"2,7",,"6,7","6,7","6,8",,,"6,7",,,"4,7",,,,"6,7",,"6,7","4,7","6,7","3,7",,"1,7",,,,"6,7",,"6,7","5,7",,,"2,7",60a7ed991485489d24b83e94
2021-05-23 00:31:31,2021-05-23 00:40:45,0,70.187.53.61,100,553,1,2021-05-23 00:40:46,R_1KjRb21nVxRzjmX,,,,,30.5305023193359375,-87.2738037109375,anonymous,EN,5db8f7199e4388000db3d457,,,,"5,7",,,"4,7",,,,,"6,7",,,"3,7","6,7","3,7","3,7",,,"6,7",,"6,7",,,,,"6,7","1,7","2,7",,,,,,,,,,,,,,,,,,,,,"6,7",,,,"6,7","6,7",,,,,,,,,,"6,7","6,8",,,"6,7",,,"5,8",,,,,,,"1,7",,"6,8","6,7","6,7",,,,"6,7",,"6,7",,,,,"3,7","6,7",,,"6,7",,,,,"6,7",,,,,,,,"1,7",,,"6,7","6,7",,,,,,"6,7",,,,,,,,"6,7","6,7",,"6,7","2,7",,,,,,,,,,,"6,7",,,,,,5db8f7199e4388000db3d457
2021-05-23 00:35:50,2021-05-23 00:42:29,0,23.28.139.0,100,399,1,2021-05-23 00:42:30,R_8ickFjiFUOxwCHv,,,,,41.4781036376953125,-81.5746002197265625,anonymous,EN,5cf020b3fc94fd0001196691,,,,,,,,,,,,,,,"3,7",,,,,,,,"6,7",,,,,,,,,,,,,,"6,7",,,,,"5,7",,"6,7",,,"6,7",,,"6,7","6,7",,,,"6,7","6,7",,"6,7",,,,,"2,9",,"1,7",,,,,,,"6,7","6,7",,"2,9",,"6,7",,,,,"4,9",,"6,7",,"5,8",,"6,7","6,7","6,7",,,"6,7",,,,,"6,7","6,7",,"6,7",,,,,,,,,,"6,7","5,7",,,,,,,,,,,,,,,"6,7",,"6,7",,"6,7",,"6,7",,"6,7",,,,"2,7",,,"6,7",,,,"6,7",,"6,7",,,5cf020b3fc94fd0001196691
2021-05-23 00:40:26,2021-05-23 00:42:45,0,96.10.240.14,100,138,1,2021-05-23 00:42:45,R_qOvvypFtFTH8RdD,,,,,35.710906982421875,-78.65940093994140625,anonymous,EN,5fa0206e9e4b5702fc8c629d,,,,,,"6,7",,,"6,7",,,,,,,,,,"1,7",,,,"6,7",,,,,,,"3,7",,,,,,"6,7",,"5,7",,"6,7","6,7",,,,,,,,,,"6,7","5,9",,,,"6,7",,,,,"6,7",,,,,,,"6,7",,"4,8","6,7",,,,,"4,9",,,,,"6,7",,,"1,7",,"2,8",,,,,"6,9","5,7","5,7",,,,"4,7",,,,,"2,7","5,7",,,,,,,,,,,,,,"3,7","6,7","2,7",,"4,7","6,7",,"6,7",,,,,,,"4,7",,"6,7",,,,,,,"6,7",,"6,7",,,"6,7","6,7",,,,,5fa0206e9e4b5702fc8c629d
2021-05-23 00:36:13,2021-05-23 00:43:07,0,73.164.231.78,100,414,1,2021-05-23 00:43:08,R_1MJUi4gJpayMUet,,,,,45.6378021240234375,-122.523895263671875,anonymous,EN,60a4690e1e786ca749b6b790,"6,7",,,,,,,"6,7",,,"6,7",,,"6,7",,"6,7",,,,,"6,7",,,,,,,"4,7",,,"6,7",,,,,,,,,,,,,"6,7",,"3,7","6,7",,"6,7",,,"4,7",,"2,7",,,,,,"6,7",,"6,7","6,7",,"3,8",,,,,,,,,"6,7",,"3,8",,,,"6,8",,,,,,,,,,,"6,7",,"5,8",,"3,7",,,,"5,7",,"5,7","6,7",,,,,"6,7",,,,"5,7",,,,,,,,"6,7",,,,,"1,7",,"6,7",,,,"6,7","6,7",,,"2,7",,"6,7","6,7",,,,,,,,,,,,"4,7",,60a4690e1e786ca749b6b790
2021-05-23 00:41:42,2021-05-23 00:46:57,0,98.33.223.148,100,314,1,2021-05-23 00:46:58,R_Cmh6dULanGwoF8t,,,,,40.3495025634765625,-111.89980316162109375,anonymous,EN,5e7116866cce1602d1f52f9e,,,,,"4,7","6,7",,,,,,,,,,,,"6,7",,,,"6,7",,,"4,7",,"3,7",,,,,,,,"6,7",,,,"6,7","3,7",,,,,,,,,,"6,7",,"6,9",,,"6,7","6,7",,,,,"6,7",,,"5,7","6,7","6,7",,,,,,,,,,,,,,"6,7",,,"6,7",,,,"6,7",,"6,7","6,7",,"6,7",,"6,7",,"6,7",,,"6,7","6,7",,,,,"6,7",,,,,,,,,"4,7",,,,,"6,7",,,,,,,"6,7",,,,,,"6,7",,"6,7",,,"6,7",,,,"6,7",,,,"6,7","6,7",,"6,7",,,5e7116866cce1602d1f52f9e
