StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,prolific,wiki_mallet_18_33,wiki_mallet_6_40,wiki_mallet_7_4,wiki_mallet_30_35,wiki_mallet_9_34,wiki_mallet_15_32,wiki_mallet_25_48,wiki_mallet_21_2,wiki_mallet_19_25,wiki_mallet_34_5,wiki_mallet_20_28,wiki_mallet_33_23,wiki_mallet_38_24,wiki_mallet_10_44,wiki_mallet_5_39,wiki_mallet_31_42,wiki_mallet_14_37,wiki_mallet_22_8,wiki_mallet_2_45,wiki_mallet_44_31,wiki_mallet_40_29,wiki_mallet_11_12,wiki_mallet_49_1,wiki_mallet_37_17,wiki_mallet_26_16,wiki_mallet_29_15,wiki_mallet_0_46,wiki_mallet_23_41,wiki_mallet_4_20,wiki_mallet_47_13,wiki_mallet_48_43,wiki_mallet_27_6,wiki_mallet_12_11,wiki_mallet_13_22,wiki_mallet_42_0,wiki_mallet_24_38,wiki_mallet_36_19,wiki_mallet_41_18,wiki_mallet_17_30,wiki_mallet_46_49,wiki_mallet_8_3,wiki_mallet_39_26,wiki_mallet_32_27,wiki_mallet_16_21,wiki_mallet_35_47,wiki_mallet_1_9,wiki_mallet_43_10,wiki_mallet_45_7,wiki_mallet_28_36,wiki_mallet_3_14,wikitext_dvae_37_47,wikitext_dvae_16_4,wikitext_dvae_34_38,wikitext_dvae_31_17,wikitext_dvae_48_37,wikitext_dvae_33_10,wikitext_dvae_0_2,wikitext_dvae_49_3,wikitext_dvae_5_12,wikitext_dvae_29_32,wikitext_dvae_47_25,wikitext_dvae_28_20,wikitext_dvae_32_15,wikitext_dvae_10_26,wikitext_dvae_20_9,wikitext_dvae_46_13,wikitext_dvae_24_33,wikitext_dvae_39_22,wikitext_dvae_45_48,wikitext_dvae_27_23,wikitext_dvae_30_19,wikitext_dvae_19_44,wikitext_dvae_44_49,wikitext_dvae_4_6,wikitext_dvae_21_42,wikitext_dvae_17_29,wikitext_dvae_15_11,wikitext_dvae_43_39,wikitext_dvae_36_40,wikitext_dvae_14_16,wikitext_dvae_6_43,wikitext_dvae_40_30,wikitext_dvae_8_35,wikitext_dvae_42_28,wikitext_dvae_12_18,wikitext_dvae_11_21,wikitext_dvae_13_7,wikitext_dvae_22_27,wikitext_dvae_38_14,wikitext_dvae_25_8,wikitext_dvae_23_36,wikitext_dvae_2_24,wikitext_dvae_41_0,wikitext_dvae_3_45,wikitext_dvae_18_46,wikitext_dvae_1_41,wikitext_dvae_7_5,wikitext_dvae_26_34,wikitext_dvae_35_31,wikitext_dvae_9_1,wikitext_etm_24_44,wikitext_etm_23_47,wikitext_etm_21_39,wikitext_etm_16_34,wikitext_etm_32_5,wikitext_etm_2_12,wikitext_etm_39_13,wikitext_etm_22_2,wikitext_etm_26_11,wikitext_etm_15_32,wikitext_etm_49_40,wikitext_etm_12_4,wikitext_etm_18_1,wikitext_etm_17_46,wikitext_etm_25_43,wikitext_etm_34_22,wikitext_etm_43_19,wikitext_etm_29_17,wikitext_etm_9_25,wikitext_etm_19_6,wikitext_etm_38_42,wikitext_etm_1_18,wikitext_etm_13_33,wikitext_etm_27_23,wikitext_etm_6_35,wikitext_etm_28_31,wikitext_etm_42_28,wikitext_etm_35_20,wikitext_etm_37_49,wikitext_etm_20_26,wikitext_etm_46_38,wikitext_etm_4_9,wikitext_etm_48_10,wikitext_etm_31_36,wikitext_etm_11_37,wikitext_etm_30_48,wikitext_etm_45_24,wikitext_etm_10_29,wikitext_etm_3_45,wikitext_etm_14_16,wikitext_etm_36_7,wikitext_etm_41_3,wikitext_etm_44_15,wikitext_etm_8_14,wikitext_etm_0_21,wikitext_etm_47_0,wikitext_etm_5_41,wikitext_etm_7_8,wikitext_etm_33_27,wikitext_etm_40_30,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Prolific PID:,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,Please select which term is the least related to all other terms and your familiarity with the words,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""PROLIFIC_PID""}"
2021-05-22 23:02:19,2021-05-22 23:10:26,0,76.170.199.201,100,486,1,2021-05-22 23:10:26,R_3rV9fWHFqKKoZpv,,,,,33.8159942626953125,-117.96920013427734375,anonymous,EN,60a958e8da2ceff9d125ea84,"6,7",,,"3,7",,,,,,,,,"2,7",,,"6,7",,"6,7",,,,"4,7",,,"6,7",,,,,,,,,,,"5,7","6,7",,,"6,7",,,,,"4,7",,"6,7",,,"6,7",,,,,"6,7","6,7",,,,,,,,,,,,,,,,,,,"6,7",,"6,7","6,7",,,,,"6,7",,,,,"6,7",,"6,7","3,7",,,,,,"6,7",,,,,,,"6,7","6,7",,"6,7",,,,,,,,,"4,7",,,,"6,7",,,,,,,"4,7","4,7",,"6,7",,"1,7",,,,"6,7","6,7",,,,,,,,"1,7",,"5,7","4,7","2,7",,60a958e8da2ceff9d125ea84
2021-05-22 23:23:28,2021-05-22 23:28:13,0,104.181.2.92,100,284,1,2021-05-22 23:28:14,R_ZgXo64cUphIqicN,,,,,29.877197265625,-95.6938018798828125,anonymous,EN,5e518bca0d52641c8faea779,,"6,7",,,,,,,,"6,7",,,,,"6,7",,,,"6,7",,,,"6,7",,"6,7","6,7",,,"6,7",,,,,,,,"2,7",,"6,7",,,"6,7","6,7",,,,,,,,,,,,"6,7",,,"6,7",,,"6,7",,,,,,,,,,,,,,"6,7",,"6,7",,,"6,7","6,7",,,,,,,,"6,8",,,,,,"6,7","6,7","6,7",,,,"6,7","6,7",,,,,,,,,"3,7",,,"3,7",,"6,7",,,,,"6,7","6,7","3,7",,"6,7",,,,,,,,,"6,7",,"6,7","6,7",,,,,,,,"1,7",,,"6,7",,"6,7",5e518bca0d52641c8faea779
2021-05-22 23:08:52,2021-05-22 23:33:07,0,107.192.200.121,100,1455,1,2021-05-22 23:33:08,R_2466XFOnY2sWDym,,,,,31.971099853515625,-97.87760162353515625,anonymous,EN,60a4ac0589c50fa781c67210,,,,"4,7",,"1,7","6,7","2,7",,,,,,,,,,,"6,7","6,7",,,"6,7",,,"6,7",,,"6,7",,,"6,7","6,7",,,,,"6,7",,,"6,7",,,,,,,,,,"6,7",,,,,,,"6,7",,,,,,,,,,"5,8",,,"6,8",,"6,7",,,,,"6,8",,,,,,,,,"5,7",,"6,8",,,"6,7","6,8",,,,,,,,"6,7",,,,,,"5,7",,"5,7",,"5,7",,"6,7",,,,,"5,7",,,,,,"6,7",,,,,,,,,,,"6,7",,,"2,7","6,7",,,"6,7","6,7","6,7",,,,"4,7","1,7",,60a4ac0589c50fa781c67210
2021-05-22 23:30:21,2021-05-22 23:37:56,0,47.33.81.85,100,455,1,2021-05-22 23:37:57,R_2Vyeqc2mbMxL1bV,,,,,33.78399658203125,-118.185394287109375,anonymous,EN,5fe3e979878eaa13872eb64f,"6,7",,,,"6,7","6,7",,,,"6,7",,,,,"6,7",,,,,,"6,7",,,,"6,7",,,,,,,,,,,,,,,,"6,7","6,7","6,7",,"4,7",,,,,"6,7",,"6,7","4,7",,,,,"6,7",,,,"3,8",,,,,,,,"6,7","6,7",,"6,7",,,,,,,,"6,7",,,,,,,"6,8",,,,"6,7","6,8",,,,"6,7",,"6,9","6,7",,,,,,,,,,,,,"6,7",,,"4,7",,,,,,,"3,7","3,7","6,7",,,,,,,,"6,7","5,7",,,,"6,7","6,7",,"3,7",,,,,,"6,7",,,"6,7",5fe3e979878eaa13872eb64f
2021-05-22 23:27:36,2021-05-22 23:38:27,0,24.143.51.57,100,650,1,2021-05-22 23:38:27,R_1g1JmsajVmWifOh,,,,,39.102996826171875,-95.10500335693359375,anonymous,EN,5ee240e29b7eec2e3086c548,,"6,7","6,7",,,,"6,7",,,,,,,,,,,,,"6,7","6,7",,,,,"6,7",,,,,,,,,,,,,,"5,7",,,,,,,,"6,7","2,7",,,,,,,,,,,,"6,7","6,7",,,,"6,7",,,"3,9",,,"6,7",,,"6,7",,,,"6,7",,,,"6,7","6,7",,,,,,,,"2,7",,,,"6,7","6,7","6,9",,"6,7","6,7","6,7",,,,,"1,7","6,7",,,,"6,7",,,,,"6,7",,"6,7",,,,,"3,7","6,7",,"4,7","6,7","5,7",,,,,,"6,7",,,,,,,"6,7",,,"2,7",,,,,,5ee240e29b7eec2e3086c548
2021-05-22 23:41:13,2021-05-22 23:52:05,0,67.185.132.101,100,651,1,2021-05-22 23:52:05,R_2fCKH0Ig0A9JBt6,,,,,47.7344970703125,-117.44699859619140625,anonymous,EN,60a97a5580a64ad01810da9d,,,"6,7","6,7",,,,,,,,,,,,,,,"6,7","6,7",,,,,,,,,,"6,7",,,,"6,7",,,,"6,7",,"6,7","6,7",,"6,7","6,7","6,7",,,"6,7",,,,,,,,,,"6,7",,"6,7",,,,,,,"6,7",,,,,,,,"6,7",,"6,7",,,,"6,7","6,7",,"6,7","6,7","6,7",,,,,"3,8","1,9",,,,,,"1,9",,,,,"6,7",,"5,7",,,,,,,"6,7",,,"6,7",,,,,,,,,,,,,,"5,7",,,"1,7","6,7",,,"6,7",,"6,7",,,,,,"6,7",,"6,7","6,7",,,,60a97a5580a64ad01810da9d
2021-05-22 23:46:50,2021-05-22 23:54:52,0,70.187.53.61,100,482,1,2021-05-22 23:54:53,R_1OTQcukL7980gfN,,,,,30.5305023193359375,-87.2738037109375,anonymous,EN,5db8f7199e4388000db3d457,,,,,,,,"6,7",,,,,,,,"6,7",,,,"6,7",,,"6,7",,"6,7",,"6,7","3,7",,"6,7",,,"6,7",,,,,,,,,"6,7","6,7",,,"6,7","6,7",,,,,"6,7","5,7",,,"6,7",,"6,7",,"6,7",,,,,"6,7",,,,,"6,7","6,7",,,,,,,,,,"6,7",,,,,"6,7",,,,,,,,,,,,"6,7",,"6,7",,"4,7",,"6,7","6,7",,"6,7",,,,"6,7",,,,,,"6,7","6,7",,"6,7",,,,,,,"3,7","6,7",,,,,,,,,,,"3,7",,,,,,,"1,7",,,,"6,7",5db8f7199e4388000db3d457
2021-05-22 23:23:26,2021-05-22 23:55:57,0,65.78.136.124,100,1950,1,2021-05-22 23:55:57,R_bvB1UgEfIheWnUl,,,,,38.56390380859375,-121.441802978515625,anonymous,EN,60a4cad752b533483046f517,,,"6,7",,,"4,7","6,7","2,7","5,7","6,7","3,7",,"2,7",,,,,,,,"6,7",,,,,,,,,,"2,7",,,,,"5,7","6,7",,,"6,7",,"6,7",,"6,7","6,7",,,,,"1,7","6,7","6,7","5,7","6,7",,,,,,,,,,,,"4,8",,"4,8",,,,,"6,7","6,9",,,"2,7",,,,,,,,,,,,"6,7","6,7",,,,,,,,,,,,,,"1,7",,,,,,,,"6,7",,,"6,7",,,,"6,7",,,,"6,7",,,,,,,"6,7",,,"5,7",,,,,,"6,7",,,,,,"2,7","6,7",,,,,60a4cad752b533483046f517
