dataset,rating_group,topic,annotator,rating
news,crowdwork_ratings,0,0,3
news,crowdwork_ratings,0,1,1
news,crowdwork_ratings,0,2,2
news,crowdwork_ratings,0,3,2
news,crowdwork_ratings,0,4,1
news,crowdwork_ratings,0,5,2
news,crowdwork_ratings,0,6,2
news,crowdwork_ratings,0,7,2
news,crowdwork_ratings,0,8,2
news,crowdwork_ratings,0,9,2
news,crowdwork_ratings,0,10,2
news,crowdwork_ratings,0,11,3
news,crowdwork_ratings,0,12,1
news,crowdwork_ratings,0,13,2
news,crowdwork_ratings,0,14,1
news,mturk_ratings_data,0,0,3
news,mturk_ratings_data,0,1,2
news,mturk_ratings_data,0,2,2
news,mturk_ratings_data,0,3,1
news,mturk_ratings_data,0,4,2
news,mturk_ratings_data,0,5,2
news,mturk_ratings_data,0,6,3
news,mturk_ratings_data,0,7,2
news,mturk_ratings_data,0,8,2
news,mturk_ratings_data,0,9,2
news,mturk_ratings_data,0,10,3
news,mturk_ratings_data,0,11,2
news,mturk_ratings_data,0,12,2
news,mturk_ratings_data,0,13,1
news,mturk_ratings_data,0,14,2
news,mturk_ratings_data,0,15,2
news,mturk_ratings_data,0,16,3
news,crowdwork_ratings,1,0,2
news,crowdwork_ratings,1,1,1
news,crowdwork_ratings,1,2,1
news,crowdwork_ratings,1,3,1
news,crowdwork_ratings,1,4,2
news,crowdwork_ratings,1,5,2
news,crowdwork_ratings,1,6,1
news,crowdwork_ratings,1,7,1
news,crowdwork_ratings,1,8,1
news,crowdwork_ratings,1,9,2
news,crowdwork_ratings,1,10,2
news,crowdwork_ratings,1,11,2
news,crowdwork_ratings,1,12,1
news,crowdwork_ratings,1,13,2
news,crowdwork_ratings,1,14,1
news,mturk_ratings_data,1,0,2
news,mturk_ratings_data,1,1,2
news,mturk_ratings_data,1,2,2
news,mturk_ratings_data,1,3,1
news,mturk_ratings_data,1,4,2
news,mturk_ratings_data,1,5,2
news,mturk_ratings_data,1,6,2
news,mturk_ratings_data,1,7,2
news,mturk_ratings_data,1,8,1
news,mturk_ratings_data,1,9,1
news,mturk_ratings_data,1,10,1
news,mturk_ratings_data,1,11,1
news,mturk_ratings_data,1,12,1
news,mturk_ratings_data,1,13,2
news,mturk_ratings_data,1,14,3
news,mturk_ratings_data,1,15,3
news,crowdwork_ratings,2,0,3
news,crowdwork_ratings,2,1,3
news,crowdwork_ratings,2,2,2
news,crowdwork_ratings,2,3,3
news,crowdwork_ratings,2,4,3
news,crowdwork_ratings,2,5,3
news,crowdwork_ratings,2,6,3
news,crowdwork_ratings,2,7,3
news,crowdwork_ratings,2,8,3
news,crowdwork_ratings,2,9,3
news,crowdwork_ratings,2,10,3
news,crowdwork_ratings,2,11,3
news,crowdwork_ratings,2,12,3
news,crowdwork_ratings,2,13,3
news,crowdwork_ratings,2,14,3
news,mturk_ratings_data,2,0,2
news,mturk_ratings_data,2,1,2
news,mturk_ratings_data,2,2,3
news,mturk_ratings_data,2,3,3
news,mturk_ratings_data,2,4,2
news,mturk_ratings_data,2,5,3
news,mturk_ratings_data,2,6,3
news,mturk_ratings_data,2,7,3
news,mturk_ratings_data,2,8,2
news,mturk_ratings_data,2,9,3
news,mturk_ratings_data,2,10,3
news,mturk_ratings_data,2,11,3
news,mturk_ratings_data,2,12,1
news,mturk_ratings_data,2,13,3
news,mturk_ratings_data,2,14,3
news,mturk_ratings_data,2,15,3
news,crowdwork_ratings,3,0,3
news,crowdwork_ratings,3,1,2
news,crowdwork_ratings,3,2,2
news,crowdwork_ratings,3,3,3
news,crowdwork_ratings,3,4,2
news,crowdwork_ratings,3,5,3
news,crowdwork_ratings,3,6,2
news,crowdwork_ratings,3,7,2
news,crowdwork_ratings,3,8,3
